A1,A2,A3,A4,A5,A6,A7,A8,A9
6790,7869,5621,3873,14659,9494,12411,11742,24153
6659,7633,5684,4120,14292,9804,12343,11753,24096
6909,7386,5588,4138,14295,9726,12497,11524,24021
6870,7574,5601,3981,14444,9582,12471,11555,24026
6608,7751,5658,4100,14359,9758,12266,11851,24117
7009,7543,5656,4011,14552,9667,12665,11554,24219
7184,7638,5767,3636,14822,9403,12951,11274,24225
7192,7935,5745,3401,15127,9146,12937,11336,24273
7414,7778,6023,3115,15192,9138,13437,10893,24330
7323,7681,5935,3400,15004,9335,13258,11081,24339
7259,7800,6199,3022,15059,9221,13458,10822,24280
7579,7835,6040,2867,15414,8907,13619,10702,24321
7661,7886,6172,2610,15547,8782,13833,10496,24329
7554,7877,6060,2909,15431,8969,13614,10786,24400
7594,7857,6096,2938,15451,9034,13690,10795,24485
7755,7673,6050,3039,15428,9089,13805,10712,24517
7770,8114,6089,2586,15884,8675,13859,10700,24559
7831,7815,6044,2848,15646,8892,13875,10663,24538
7881,7824,5985,2846,15705,8831,13866,10670,24536
7851,7709,5835,3096,15560,8931,13686,10805,24491
7574,7546,5854,3489,15120,9343,13428,11035,24463
7600,7719,5655,3516,15319,9171,13255,11235,24490
7644,7527,5478,3822,15171,9300,13122,11349,24471
7265,7645,5355,4148,14910,9503,12620,11793,24413
7453,7630,5310,4000,15083,9310,12763,11630,24393
7487,7407,5432,4140,14894,9572,12919,11547,24466
7350,7690,5422,4085,15040,9507,12772,11775,24547
7574,7871,5166,4074,15445,9240,12740,11945,24685
7674,7757,5254,4192,15431,9446,12928,11949,24877
7722,7707,5352,4324,15429,9676,13074,12031,25105
7584,7957,5231,4570,15541,9801,12815,12527,25342
7520,7900,5280,4731,15420,10011,12800,12631,25431
7579,8043,5166,4767,15622,9933,12745,12810,25555
7481,8139,5219,4748,15620,9967,12700,12887,25587
7556,8150,5164,4731,15706,9895,12720,12881,25601
7750,8032,5238,4501,15782,9739,12988,12533,25521
7759,8073,5038,4462,15832,9500,12797,12535,25332
7743,7995,5040,4359,15738,9399,12783,12354,25137
7800,7844,5098,4264,15644,9362,12898,12108,25006
7815,7747,5064,4345,15562,9409,12879,12092,24971
7660,7835,4989,4467,15495,9456,12649,12302,24951
7855,8019,4776,4218,15874,8994,12631,12237,24868
7726,8109,4739,4224,15835,8963,12465,12333,24798
7789,7845,4750,4347,15634,9097,12539,12192,24731
7619,7775,4726,4523,15394,9249,12345,12298,24643
7449,7842,4640,4614,15291,9254,12089,12456,24545
7459,7857,4624,4530,15316,9154,12083,12387,24470
7417,7881,4572,4526,15298,9098,11989,12407,24396
7341,7794,4719,4501,15135,9220,12060,12295,24355
7561,7574,4642,4528,15135,9170,12203,12102,24305
7691,7696,4762,4193,15387,8955,12453,11889,24342
7737,7686,4560,4474,15423,9034,12297,12160,24457
7817,7734,4518,4457,15551,8975,12335,12191,24526
7654,8235,4417,4424,15889,8841,12071,12659,24730
7477,8125,4396,4984,15602,9380,11873,13109,24982
7317,8545,4533,4770,15862,9303,11850,13315,25165
7537,8243,4783,4658,15780,9441,12320,12901,25221
7722,8162,4942,4515,15884,9457,12664,12677,25341
8214,7806,5189,4128,16020,9317,13403,11934,25337
8103,8100,5333,3944,16203,9277,13436,12044,25480
8592,7719,5585,4091,16311,9676,14177,11810,25987
8881,7712,5862,4083,16593,9945,14743,11795,26538
8939,7531,5788,4600,16470,10388,14727,12131,26858
8950,7619,5270,5082,16569,10352,14220,12701,26921
